description,emoji
"backpack,backpacks,satchel,satchels,bag,bags",:school_satchel:
"luggage,luggages",:luggage:
"eyeglass,eyeglasses,glasses",:eyeglasses:
"sunglasses,sunglass,shades",:dark_sunglasses:
"umbrella,umbrellas",:umbrella:
"dog,dogs,doggy,puppy,puppies",:dog:
"cat,cats,kitten,kitten,kitties",:cat:
"mouse,mice",:mouse:
"hamster,hamsters",:hamster:
"rabbit,rabbits",:rabbit:
"fox,foxes,foxy",:fox:
"bear,bears",:bear:
"panda,pandas",:panda_face:
"polar bear,polar bears",:polar_bear:
"koala,koalas",:koala:
"tiger,tigers",:tiger:
"lion,lions",:lion:
"cow,cows",:cow:
"pig,pigs,piggy",:pig:
"frog,frogs,froggy,toad,toads",:frog:
"monkey,monkies,ape,apes",:monkey:
"chicken,chickens,roaster,roasters,hen,hens",:chicken:
"penguin,penguins",:penguin:
"bird,birds,birdies",:bird:
"chick,chicks",:hatching_chick:
"duck,ducks",:duck:
"eagle,eagles,bald eagle,bald ealges",:eagle:
"owl,owls",:owl:
"bat,bats",:bat:
"wolf,wolfs,werewolf,werewolfs",:wolf:
"boar,boars",:boar:
"horse,horses,pony,ponies",:horse:
"unicorn,unicorns",:unicorn:
"bee,bees,wasp,wasps",:bee:
"bug,bugs",:bug:
"butterfly,buttflies",:butterfly:
"snail,snails",:snail:
"worm,worms",:worm:
"lady bug,lady bugs",:lady_beetle:
"ant,ants",:ant:
fly,:fly:
"mosquito,mosquitos",:mosquito:
"cockroach,cockroaches",:cockroach:
"beetle,beetles",:beetle:
"cricket,crickets",:cricket:
"spider,spiders",:spider:
"web,webs",:spider_web:
"scorpion,scorpions",:scorpion:
"turtle,turtles",:turtle:
"snake,snakes",:snake:
"lizard,lizards",:lizard:
t rex,:t_rex:
"dinosaur,dinosaurs",:sauropod:
"octopus,octopi",:octopus:
"squid,squids",:squid:
"shrimp,shrimps",:shrimp:
"lobster,lobsters",:lobster:
"crab,crabs",:crab:
"fish,fishes",:fish:
"seals,seal",:seal:
"dolphin,dolphins",:dolphin:
"whale,whales",:whale:
"shark,sharks",:shark:
"crocodile,crocodiles,alligator,alligators",:crocodile:
"leopard,leopards",:leopard:
"zebra,zebras",:zebra:
"gorilla,gorillas",:gorilla:
"orangutan,orangutans",:orangutan:
"elephant,elephants",:elephant:
"bison,bisons",:bison:
"hippopotamus,hippo,hippos",:hippopotamus:
"rhino,rhinos",:rhino:
"camel,camels",:camel:
"giraffe,giraffes",:giraffe:
"kangaroo,kangaroos",:kangaroo:
"ox,oxes",:ox:
"ram,rams",:ram:
"sheep,sheeps",:sheep:
"llama,llamas",:llama:
"goat,goats",:goat:
deer,:deer:
"feather,feathers",:feather:
"turkey,turkies,thanksgiving,november",:turkey:
"dodo,dodos",:dodo:
"peacock,peacocks",:peacock:
"parrot,parrots",:parrot:
"swan,swans",:swan:
"flamingo,flamingos",:flamingo:
"dove,doves",:dove:
"raccoon,raccoons",:raccoon:
"skunk,skunks",:skunk:
"badger,badgers",:badger:
"beaver,beavers",:beaver:
"otter,otters",:otter:
"sloth,sloths,slow",:sloth:
"rat,rats",:rat:
"chipmunk,chipmunks,squirrel,squirrels",:chipmunk:
"hedgehog,hedgehogs",:hedgehog:
"paw print,paw prints,paw,paws",:feet:
"dragon,dragons,mythical",:dragon:
"cactus,cacti,cactuses",:cactus:
"christmas tree,christmas trees,holiday,holidays",:christmas_tree:
"tree,trees",:evergreen_tree:
"seedling,seedlings",:seedling:
"herb,herbs",:herb:
"four leaf clover,clover,clovers",:four_leaf_clover:
"bamboo,bamboos",:bamboo:
"leaf,leaves",:leaves:
fall,:fallen_leaf:
"nest,nests",:nest_with_eggs:
"mushroom,mushrooms",:mushroom:
"shell,shells",:shell:
"coral,corals",:coral:
"rock,rocks",:rock:
"wood,woods,woody,timber,lumber,timbers,lumbers",:wood:
"bouqet,bouqets",:bouquet:
"rose,roses,flower,flowers",:rose:
"tulips,tulip",:tulip:
lotus,:lotus:
"blossom,blossomed,blossoms,blossoming",:blossom:
"sunflower,sunflowers",:sunflower:
"sun,summer,sunny,bright",:sun_with_face:
"moon,night",:full_moon_with_face:
crescent,:crescent_moon:
"earth,americas",:earth_americas:
africa,:earth_africa:
asia,:earth_asia:
"planet,planets,space,outspace,galaxy",:ringed_planet:
"star,stars",:star2:
"sparkle,sparkles,sparkling,sparkled",:sparkles:
"zap,zaps,zapped,zapping,electric,electricity,shock,shocked,shocks,shocking",:zap:
"comet,comets,astroid,astroids",:comet:
"boom,explosion,explsions,bang,pop",:boom:
"fire,flame,flames,fires,heat",:fire:
"tornado,tornados",:cloud_tornado:
"rainbow,rainbows",:rainbow:
"cloud,clouds",:cloud:
"rain,rained,raining,rains,rain cloud",:cloud_rain:
"thunder,thunder storm,lightning,thundered,thundering,thunders,storms,storming,stormed",:thunder_cloud_rain:
"snow,snowing,snowed,snows",:cloud_snow:
"snowflake,snowflakes",:snowflake:
"snowman,snowmans",:snowman2:
"dash,dashes,wind,blow,blowing,blows,blowed,windy",:dash:
"drops,droplet,droplets,splash,splashes",:sweat_drops:
"ocean,oceans,water,wave,waves",:ocean:
"fog,foggy",:fog:
"apple,apples,fruit,fruits",:apple:
"pear,pears",:pear:
"tangerine,tangerines,orange,oranges",:tangerine:
"lemon,lemons,sour",:lemon:
"banana,bananas",:banana:
"watermelon,watermelons",:watermelon:
"grape,grapes",:grapes:
"blueberries,berry,berries",:blueberries:
"strawberry,strawberries",:strawberry:
"melon,melons",:melon:
"cherries,cherry",:cherries:
"peach,peaches",:peach:
"mangos,mango",:mango:
"pineapple,pineapples",:pineapple:
"coconut,coconuts",:coconut:
"kiwi,kiwis",:kiwi:
"tomato,tomatoes",:tomato:
"eggplant,eggplants",:eggplant:
"avocado,avocados,guacamole",:avocado:
"olive,olives",:olive:
broccoli,:broccoli:
"lettuce,lettuces,cabbage,cabbages,kelp",:leafy_green:
"bell pepper,bell peppers",:bell_pepper:
"cucumber,cucumbers",:cucumber:
"hot pepper,hot peppers,spicy",:hot_pepper:
"corn,corn on the cobb,cobb",:corn:
"carrot,carrots",:carrot:
"garlic,garlics",:garlic:
"onion,onions",:onion:
"potato,potatoes",:potato:
"sweet potato,sweet potatoes",:sweet_potato:
"croissant,croissants",:croissant:
"bagel,bagels",:bagel:
"bread,breads,toast,toasted",:bread:
"baguette,baguettes",:french_bread:
"flatbread,flatbreads",:flatbread:
"pretzel,pretzels",:pretzel:
"cheese,cheeses",:cheese:
"egg,eggs",:egg:
"cooking,cooks,cook,cooked",:cooking:
"butter,buttered,buttering",:butter:
"pancake,pancakes,flapjacks,flapjack",:pancakes:
"waffle,waffles",:waffle:
bacon,:bacon:
"steak,steaks,meat,meats",:cut_of_meat:
"chicken leg,turkey leg",:poultry_leg:
"ribs,baby back ribs,rib",:meat_on_bone:
"bone,bones",:bone:
"hotdog,hotdogs,sausage,sausages,weiner,weiners",:hotdog:
"hamburger,hamburgers,cheeseburger,cheeseburgers,burger,burgers",:hamburger:
"fries,french fry,fry,french fries",:fries:
"pizza,food,foods",:pizza:
"sandwich,sandwiches",:sandwich:
falafel,:falafel:
"taco,tacos",:taco:
"burrito,burritos",:burrito:
"salad,salads,healthy",:salad:
"canned,canned food,can,can,canned foods",:canned_food:
"jar,jars",:jar:
spaghetti,:spaghetti:
"ramen,noodle,noodles",:ramen:
"stew,soup,soups",:stew:
curry,:curry:
sushi,:sushi:
"dumpling,dumplings,wonton,wontons,potstickers,potsticker",:dumpling:
"oyster,oysters",:oyster:
rice,:rice:
"fortune,fortune cookie",:fortune_cookie:
"ice cream,ice creams,treat,treats",:icecream:
"pie,pies",:pie:
"cupcake,cupcakes",:cupcake:
"cake,cakes,dessert,desserts",:cake:
"birthday,birthdays",:birthday:
"lollipop,lollipops",:lollipop:
"candy,candies",:candy:
"chocolate,chocolates",:chocolate_bar:
"popcorn,movie,movies,snack,snacks",:popcorn:
"doughnut,doughnuts,donut,donuts",:doughnut:
"cookie,cookies",:cookie:
"peanuts,peanut,nut,nuts",:peanuts:
"bean,beans",:beans:
honey,:honey_pot:
milk,:milk:
"pour,pours,poured,pouring,spill,spilling,spills,spilled",:pouring_liquid:
"baby bottle,baby bottles",:baby_bottle:
"coffee,caffine",:coffee:
"tea,teas",:tea:
"juice,juice box,juices,juice boxes",:beverage_box:
"water,cup,cups,drink,drinks,straw,staws",:cup_with_straw:
"bubble tea,boba",:bubble_tea:
"beer,beers",:beer:
"champagne,new years,clink,clinking,clinks,clinked",:champagne:
"wine,wine glass,wine glasses",:wine_glass:
"whisky,alcohol",:whisky:
"cocktail,cocktails",:cocktail:
tropical drink,:tropical_drink:
ice,:ice_cube:
"spoon,spoons",:spoon:
"fork,forks",:fork_and_knife:
"plate,plates,dinner,dinners,lunch,lunches,breakfast",:fork_knife_plate:
"bowl,bowls,cereal",:bowl_with_spoon:
"takeout,takeout box",:takeout_box:
"chopstick,chopsticks",:chopsticks:
"salt,salty,seasonings",:salt:
"soccer,soccer balls,soccer ball",:soccer:
"basketball,basketballs,ball,balls",:basketball:
"football,footballs",:football:
"baseball,baseballs",:baseball:
"softball,softballs",:softball:
"tennis,tennis balls,tennis ball",:tennis:
"volleyball,volleyballs",:volleyball:
rugby,:rugby_football:
"disc,discs,frisbey,frisbies",:flying_disc:
"8ball,8 ball,billards,billard",:8ball:
"yo yo,yo yos",:yo_yo:
"ping pong,table tennis,ping pongs",:ping_pong:
badminton,:badminton:
"hockey,hockey puck,hockey pucks,puck,pucks",:hockey:
field hockey,:field_hockey:
lacrosse,:lacrosse:
"boomerang,boomerangs",:boomerang:
"net,nets,goal,goals,score,scored,scores,scoring",:goal:
"golf,golfs,golfed,golfing",:golf:
"kite,kites",:kite:
"playground,playgrounds,slides,slide,park,parks",:playground_slide:
"archery,archer,archers,bow,bows,arrow,arrows,bow and arrow",:archery:
"fishing,fishing pole,fishing poles,catch,caught,catches,catching",:fishing_pole_and_fish:
"dive,diving,diver,scuba,scuba diver,divers,snorkel,snorkeling,snorkeled",:diving_mask:
"boxing,boxes,box,boxed,fight,fighting,fights,fighted",:boxing_glove:
"martial arts,karate",:martial_arts_uniform:
"skateboard,skateboards,skateboarding,skateboarded",:skateboard:
"roller skate,roller skates,roller blades,roller blade,skating,skates,skated,skate",:roller_skate:
"sled,sleds,sleded,sleding",:sled:
"ski,skiing,skied,skier,skiers",:skier:
"snowboard,snowboards,snowboarded,snowboarding,snowboarder,snowboarders",:snowboarder:
"parachute,parachutes",:parachute:
"wrestle,wrestles,wrestled,wrestling,wrestler,wrestlers",:wrestling:
"basketball player,bounce,bounce balls,bounce ball,basketball players",:basketball_player:
"fencer,fencers,fence,fencing,fences,fenced",:fencer:
"golfer,golfers",:golfer:
"horse racing,race horse,race horses,horse races",:horse_racing:
"meditate,meditating,meditates,meditated,calm,clear mind,calmed",:person_in_lotus_position:
"surfer,surfers,surf,surfing,surfed,surfs",:surfer:
"swim,swims,swam,swimming,swimmer,swimmers",:swimmer:
"rowboat,rowboats,rowboated,rowboating,river,rivers",:rowboat:
"climb,climbed,climbs,climbing,climber,climbers",:person_climbing:
"bicyclist,bicyclists,bike,biking,biked,bikes",:bicyclist:
"trophy,trophies,victory,winner,winners,victories",:trophy:
"medal,medals",:medal:
"ribbon,ribbons",:reminder_ribbon:
"ticket,tickets,admission,admissions",:ticket:
"juggle,juggles,juggled,juggling,juggler,jugglers",:juggler:
"perform,performs,performing,performed,act,acting,acted,acts,fake,faking,faked,fakes",:performing_arts:
"art,arts,crafts,paint,paints,painting,painted",:art:
"microphone,sing,singing,sings,singed",:microphone:
headphones,:headphones:
piano,:musical_keyboard:
"drum,drums,drumstick,drumsticks",:drum:
"saxophone,jazz,saxophones",:saxophone:
"trumpet,trumpets",:trumpet:
"guitar,guitars,rock and roll,band,bands",:guitar:
"banjo,banjos",:banjo:
"violin,violins",:violin:
"die,dice,roll,rolls",:game_die:
"pawn,pawns,chess,strategy",:chess_pawn:
"dart,darts",:dart:
"bowling,bowling ball,pins,streak,spare",:bowling:
"videogames,videogame,video game,video games,game,games",:video_game:
"slots,slot,gamble,gambling,gambles,gambled,casino,poker",:slot_machine:
"jigsaw,puzzle,puzzles",:jigsaw:
"car,cars,drive,driving,drove,drives",:red_car:
"taxi,taxis",:taxi:
"truck,trucks",:pickup_truck:
bus,:bus:
"race car,race cars,racing,race,raced,races",:race_car:
"police car,police cars",:police_car:
"ambulance,ambulances,emergency,emergencies",:ambulance:
"fire truck,fire trucks",:fire_engine:
"tractor,tractors",:tractor:
"scooter,scooters",:scooter:
"motorcycle,motorcycles,motorcycling",:motorcycle:
"wheel,wheels,tire,tires",:wheel:
"train,trains",:steam_locomotive:
"airplane,airplanes,travel,traveling,traveled,travels,fly,flying,flied",:airplane:
"seat,sit,sitting,seated",:seat:
"satellite,satellites",:satellite_orbital:
"rocket,rockets",:rocket:
"ufo,spaceship,spaceships,saucer,saucers",:flying_saucer:
"helicopter,helicopters",:helicopter:
"sailing,sail,sails,sailed",:sailboat:
"boat,boats",:motorboat:
"cruise,cruises,cruised,cruising",:cruise_ship:
"ship,ships",:ship:
"fuel,fueling,fueled,fuels,gas,pump,pumps,pumping,pumped",:fuelpump:
"barrier,barriers,blocked,block,blocking,blocker,blocks,blockers",:construction:
"map,maps,explore,explorer,adventure,adventures",:map:
moyai,:moyai:
"statue of liberty,statue,liberty",:statue_of_liberty:
"castle,castles",:european_castle:
"stadium,stadiums",:stadium:
"ferris wheel,ferris wheels",:ferris_wheel:
"roller coaster,roller coasters",:roller_coaster:
"carousel,carousels,carnival,carnivals",:carousel_horse:
"fountain,fountains",:fountain:
"beach,beaches,sand,sandy",:beach:
"island,islands,lost,stranded",:island:
"desert,dry,deserts",:desert:
"volcano,volcanos,erruption,erruptions,lava,magma",:volcano:
"mountain,mountains",:mountain:
"camp,camped,camps,camping,tent,tenting,tents,tented,wilderness,wild,outside",:camping:
"inside,house,home,homes,houses,place,garden",:house_with_garden:
"hut,huts",:hut:
"factory,factories",:factory:
"office,offices",:office:
"store,stores,shop,shops,shopping,shopped",:department_store:
"hospital,hospitals,er",:hospital:
"bank,banks",:bank:
"hotel,hotels",:hotel:
"school,schools,elementary school,middle school,high school,college,university",:school:
"wedding,weddings",:wedding:
"church,churches",:church:
"shrine,shrines",:shinto_shrine:
"sunrise,sunrises",:sunrise:
"firework,fireworks",:fireworks:
"city,cities",:city_dusk:
"milky way,universe",:milky_way:
"bridge,bridges",:bridge_at_night:
"watch,watches",:watch:
"phone,cellphone,iphone,iphones,phones,cellphones,mobile,mobile phone,call,calling,called,calls",:iphone:
"computer,computers,laptop,laptops",:computer:
"keyboard,keyboards,type,typing,typed,types",:keyboard:
"desktop,desktops,pc",:desktop:
"printer,printers,print,printed,prints,printing",:printer:
"click,clicks",:mouse_three_button:
"joystick,joysticks",:joystick:
"disk,disks,floppy,floppy disk",:floppy_disk:
"cd,cds",:cd:
"dvd,dvds",:dvd:
"cameras,camera,picture",:camera:
"video,videoed,videos,film,filming,filmed,films",:video_camera:
"tv,television,televisions",:tv:
"radio,radios",:radio:
"compass,compasses,navigate,navigation,navigates",:compass:
"stopwatch,stopwatches",:stopwatch:
"timer,timed,timers",:timer:
"alarm,alarms,clock,clocks,alarm clock,alarm clocks",:alarm_clock:
"hourglass,hourglasses",:hourglass:
"battery,charged,batteries,charging,chargers,charge",:battery:
"plug,plugs,plugging,plugged",:electric_plug:
"bulb,bulbs,light,lights,idea,ideas",:bulb:
"flashlight,flashlights",:flashlight:
"candle,candles",:candle:
"fire extinguisher,fire extinguishers,extinguisher,extinguishers",:fire_extinguisher:
"oil,oils",:oil:
"dollar,dollars,money,cash,cashes,bills,currency",:dollar:
"coin,coins,cents",:coin:
"credit,credit card,credits,debt,debt card,credit cards,debt cards",:credit_card:
"identification,identify,identifies,id,drivers lisence,lisences,lisence",:identification_card:
"gem,gems,diamond,diamonds,jewels,jewel",:gem:
"scale,scales,weight,weights,justice,balance,balanced,fair,equal",:scales:
"ladder,ladders",:ladder:
"screwdiver,screwdrivers,tool,tools",:screwdriver:
"wrench,wrenches",:wrench:
"hammer,hammers,hammered,hammering",:hammer:
"pickaxe,pick,mine,mining,mines",:pick:
"saw,saws,carpentry",:carpentry_saw:
"screws,bolt,bolts,screw",:nut_and_bolt:
"gear,gears",:gear:
"mouse trap,trap,traps,mouse traps",:mouse_trap:
"bricks,brick",:bricks:
"chain,chains",:chains:
"magnet,magnetic,magnets",:magnet:
"gun,guns,shoot,shoots,shooting,shot",:gun:
"bomb,bombs,explosive,exploded,bombed,bombing,blew up",:bomb:
"axe,axes,axed",:axe:
"knife,knifes,knifed,knifing",:knife:
"sword,swords",:crossed_swords:
"shield,shielded,shields,protected,protection,protect,protecting",:shield:
"smoke,smoking,smokes,smoked",:smoking:
"coffin,coffins",:coffin:
"headstone,headstones,grave,graves,graveyard,graveyards",:headstone:
"urn,urns,ashes",:urn:
"crystal,crystals,crystal ball,crystal balls",:crystal_ball:
"barber,barbers",:barber:
"telescope,telescopes",:telescope:
"microscope,microscopes",:microscope:
"hole,holes",:hole:
"x ray,x rays",:x_ray:
"adhesive,bandage,bandages",:adhesive_bandage:
"pill,pills",:pill:
"syringe,syringes,vaccine,vaccinations,vaccines,vaccination",:syringe:
"blood,bloods,bloody",:drop_of_blood:
dna,:dna:
"microbe,microbes,germ,germs,bacteria",:microbe:
"thermometer,thermometers,temperature,temperatures",:thermometer:
"broom,brooms,clean,cleans,cleaned,cleaning",:broom:
"plunger,plungers,clog,clogged",:plunger:
"toilet paper,toilet papers",:roll_of_paper:
"toilet,toilets,bathroom,bathrooms",:toilet:
"shower,showers,bath,baths",:shower:
"soap,soaps",:soap:
"toothbrush,toothbrushes",:toothbrush:
"razor,razors,shave,shaved,shaves,shaving",:razor:
"bellhop,bellhops,bell,bells",:bellhop:
"key,keys",:key:
"couch,couches",:couch:
"bed,beds,sleep,sleeps,slept,sleeping",:bed:
"gift,gifts,present,presents",:gift:
"balloon,balloons",:balloon:
"tada,celebration,celebrate,celebrates,surprise,surprises,surprised,surprised",:tada:
"envelope,letters,envelopes",:envelope:
"package,packages,packaged,packaging",:package:
"mail,mailed,mailing,mailbox,mailboxes",:mailbox_with_mail:
"receipt,receipts",:receipt:
"chart,charts",:bar_chart:
"stock,stocks",:chart_with_upwards_trend:
"calendar,calendars,date,dates,day,days,month,months,year,years",:calendar:
"wastebasket,wastebaskets,trashcan,trashcans,trash,trashed",:wastebasket:
"file,files,filing,filed",:dividers:
"newspaper,news,newspapers,information,inform,informed,informing",:newspaper2:
"notebook,notebooks",:notebook:
"book,books,read,reading,reads,knowledge",:books:
"link,links,linked,linking",:link:
"paperclip,paperclips",:paperclip:
"ruler,rulers,measure,measures,inch,inches,centimeters,centimeter",:straight_ruler:
"math,calculate,calculations,calculation,calculated,calculates,calculating",:abacus:
"scissors,scissor,cut,cuts,cutted,cutting",:scissors:
"pen,pens,ballpoint,ballpoint pen,ballpoint pens",:pen_ballpoint:
"paintbrush,paintbrushes",:paintbrush:
"crayon,crayons",:crayon:
"pencil,pencils",:pencil2:
"lock,locks,locked,locking",:lock:
"unlock,unlocks,unlocked,unlocking",:unlock:
"heart,hearts,love,loved,loving,loves,lover,lovers",:heart:
"broken heart,broken hearts,break up,dumped",:broken_heart:
sos,:sos:
"wrong,incorrect",:x:
"stop,no entry,stopped,stopping",:no_entry:
underage,:underage:
"warn,warns,warned,warning,caution,cautious,cautioned",:warning:
"recycle,recycled,recycles,recycling",:recycle:
"right,correct",:white_check_mark:
zero,:zero:
one,:one:
two,:two:
three,:three:
four,:four:
five,:five:
six,:six:
seven,:seven:
eight,:eight:
nine,:nine:
ten,:keycap_ten:
"number,numbered,numbers,numbering",:1234:
"music,musical",:musical_note:
"mute,muted",:mute:
"sound,sounds",:sound:
"thought,think,thinking,dream,dreaming,dreamed,dreams",:thought_balloon:
"joker,jokers",:black_joker:
female,:female_sign:
male,:male_sign:
"flag,flags",:flag_white:
"red flag,red flags",:triangular_flag_on_post:
"pride,gay",:rainbow_flag:
"pirate,pirates",:pirate_flag:
"mexico,mexican",:flag_mx:
"canada,canadian",:flag_ca:
"america,american,united states",:flag_us:
